2018rank,City,State,2018estimate,2010Census,2016 land area (sq mi),2016 population density (sq mi),Zhvi,Median Income,Cost Score,Cost Rank
1,New York City,New York,8398748,8175133,301.5,28317.0,677000,64894.0,10.432397448146208,20.0
2,Los Angeles,California,3990456,3792621,468.7,8484.0,686100,71805.0,9.555044913306872,27.0
3,Chicago,Illinois,2705994,2695598,227.3,11900.0,229400,62992.0,3.641732283464567,190.0
4,Houston,Texas,2325502,2100263,637.5,3613.0,186000,59206.0,3.1415734891733944,228.0
5,Phoenix,Arizona,1660272,1445632,517.6,3120.0,242600,56581.0,4.287658401230095,159.0
6,Philadelphia,Pennsylvania,1584138,1526006,134.2,11683.0,156400,59195.0,2.642115043500296,253.0
7,San Antonio,Texas,1532233,1327407,461.0,3238.0,176100,59206.0,2.9743607066851334,237.0
8,San Diego,California,1425976,1307402,325.2,4325.0,633600,71805.0,8.823898057238354,30.0
9,Dallas,Texas,1345047,1197816,340.9,3866.0,214400,59206.0,3.6212546025740635,193.0
10,San Jose,California,1030119,945942,177.5,5777.0,1039700,71805.0,14.479493071513126,7.0
11,Austin,Texas,964254,790390,312.7,3031.0,368600,59206.0,6.225720366179104,79.0
12,Jacksonville,Florida,903889,821784,747.4,1178.0,177500,52594.0,3.374909685515458,208.0
13,Fort Worth,Texas,895008,741206,342.9,2491.0,197400,59206.0,3.3341215417356347,213.0
14,Columbus,Ohio,892533,787033,218.5,3936.0,156500,54021.0,2.8970215286647787,244.0
15,San Francisco,California,883305,805235,46.9,18569.0,1357500,71805.0,18.90536870691456,3.0
16,Charlotte,North Carolina,872498,731424,305.4,2757.0,224800,52752.0,4.261449802851077,161.0
17,Indianapolis,Indiana,867125,820445,361.5,2366.0,144100,54181.0,2.6596039201934256,250.0
18,Seattle,Washington,744955,608660,83.8,8405.0,723300,70979.0,10.190337987292017,24.0
19,Denver,Colorado,716492,600158,153.3,4521.0,424700,69117.0,6.144653269094434,82.0
20,"Washington, D.C.",District of Columbia,702455,601723,61.1,11148.0,573900,82336.0,6.970219588029537,60.0
21,Boston,Massachusetts,694583,617594,48.3,13938.0,599000,77385.0,7.740518188279382,44.0
22,El Paso,Texas,682669,649121,256.8,2660.0,128800,59206.0,2.1754551903523294,287.0
23,Detroit,Michigan,672662,713777,138.8,4847.0,118400,54909.0,2.1562949607532462,288.0
24,Nashville,Tennessee,669053,601222,475.9,1388.0,263500,51340.0,5.132450331125828,122.0
25,Portland,Oregon,653115,583776,133.5,4793.0,422500,60212.0,7.016873712881154,59.0
26,Memphis,Tennessee,650618,646889,317.4,2056.0,85900,51340.0,1.6731593299571483,301.0
27,Oklahoma City,Oklahoma,649021,579999,606.3,1053.0,130200,50051.0,2.60134662644103,254.0
28,Las Vegas,Nevada,644644,583756,134.4,4709.0,275500,58003.0,4.749754323052256,130.0
29,Louisville,Kentucky,620118,597337,263.5,2339.0,159800,48375.0,3.303359173126615,218.0
30,Baltimore,Maryland,602495,620961,80.9,7598.0,114800,80776.0,1.4212142220461523,307.0
31,Milwaukee,Wisconsin,592025,594833,96.2,6186.0,122800,59305.0,2.070651715706939,291.0
32,Albuquerque,New Mexico,560218,545852,188.2,2972.0,201800,46744.0,4.317131610474071,158.0
33,Tucson,Arizona,545975,520116,230.8,2299.0,187600,56581.0,3.315600643325498,215.0
34,Fresno,California,530093,494665,114.4,4563.0,242500,71805.0,3.3772021446974443,207.0
35,Mesa,Arizona,508958,439041,137.9,3514.0,251300,56581.0,4.4414202647531855,149.0
36,Sacramento,California,508529,466488,97.9,5059.0,326900,71805.0,4.5526077571199774,142.0
37,Atlanta,Georgia,498044,420003,133.5,3539.0,259700,56183.0,4.622394674545681,137.0
38,Kansas City,Missouri,491918,459787,315.0,1528.0,148900,53578.0,2.7791257605733697,245.0
39,Colorado Springs,Colorado,472688,416427,195.6,2378.0,293000,69117.0,4.239188622191357,162.0
40,Miami,Florida,470914,399457,36.0,12599.0,337200,52594.0,6.411377723694718,72.0
41,Raleigh,North Carolina,469298,403892,145.1,3163.0,275400,52752.0,5.220655141037307,118.0
42,Omaha,Nebraska,468262,408958,133.2,3356.0,175600,59970.0,2.928130732032683,241.0
43,Long Beach,California,467354,462257,50.3,9347.0,593500,71805.0,8.265441125269827,37.0
44,Virginia Beach,Virginia,450189,437994,244.7,1850.0,267100,71535.0,3.733836583490599,185.0
45,Oakland,California,429082,390724,55.9,7514.0,735200,71805.0,10.238841306315717,22.0
46,Minneapolis,Minnesota,425403,382578,54.0,7660.0,266800,68388.0,3.9012692285196233,177.0
47,Tulsa,Oklahoma,400669,391906,196.8,2048.0,121200,50051.0,2.421530039359853,268.0
48,Arlington,Texas,398112,365438,95.8,4100.0,207900,59206.0,3.511468432253488,198.0
49,Tampa,Florida,392890,335709,113.4,3326.0,221100,52594.0,4.203901585732213,164.0
50,New Orleans,Louisiana,391006,343829,169.4,2311.0,178700,46145.0,3.872575576985589,179.0
51,Wichita,Kansas,389255,382368,160.4,2431.0,127700,56422.0,2.263301549041154,283.0
52,Cleveland,Ohio,383793,396815,77.7,4965.0,55300,54021.0,1.0236759778604616,316.0
53,Bakersfield,California,383579,347483,148.8,2529.0,241600,71805.0,3.364668198593413,210.0
54,Aurora,Colorado,374114,325078,153.5,2356.0,327000,69117.0,4.731108121012197,131.0
55,Anaheim,California,352005,336265,50.0,7021.0,595700,71805.0,8.296079660190795,36.0
56,Honolulu,Hawaii,347397,337256,60.5,5815.0,661200,77765.0,8.5025397029512,33.0
57,Santa Ana,California,332725,324528,27.1,12333.0,547800,71805.0,7.62899519532066,46.0
58,Riverside,California,330063,303871,81.2,3999.0,409100,71805.0,5.697374834621544,98.0
59,Corpus Christi,Texas,326554,305215,174.6,1866.0,149000,59206.0,2.5166368273485795,259.0
60,Lexington,Kentucky,323780,295803,283.6,1123.0,183300,48375.0,3.7891472868217053,183.0
61,Stockton,California,311178,291707,61.7,4977.0,300600,71805.0,4.186337998746605,165.0
62,Henderson,Nevada,310390,257729,104.7,2798.0,329800,58003.0,5.685912797613916,100.0
63,Saint Paul,Minnesota,307695,285068,52.0,5815.0,220300,68388.0,3.221325378721413,223.0
64,St. Louis,Missouri,302838,319294,62.0,5023.0,117800,53578.0,2.198663630594647,285.0
65,Cincinnati,Ohio,302605,296943,77.4,3860.0,144400,54021.0,2.6730345606338277,249.0
66,Pittsburgh,Pennsylvania,301048,305704,55.4,5481.0,147500,59195.0,2.491764507137427,262.0
67,Greensboro,North Carolina,294722,269666,128.3,2237.0,143300,52752.0,2.7164846830451927,247.0
68,Anchorage,Alaska,291538,291826,1706.6,175.0,336700,73181.0,4.60092100408576,138.0
69,Plano,Texas,288061,259841,71.7,3990.0,336900,59206.0,5.690301658615681,99.0
70,Lincoln,Nebraska,287401,258379,92.1,3044.0,183000,59970.0,3.0515257628814405,234.0
71,Orlando,Florida,285713,238300,105.2,2635.0,241200,52594.0,4.586074457162414,139.0
72,Irvine,California,282572,212375,65.6,4057.0,856000,71805.0,11.921175405612422,12.0
73,Newark,New Jersey,282090,277140,24.1,11691.0,259700,80088.0,3.242683048646489,222.0
74,Toledo,Ohio,274975,287208,80.7,3451.0,69600,54021.0,1.2883878491697673,313.0
75,Durham,North Carolina,274291,228330,109.8,2395.0,228000,52752.0,4.322111010009099,155.0
76,Chula Vista,California,271651,243916,49.6,5387.0,537000,71805.0,7.478587842072279,49.0
77,Fort Wayne,Indiana,267633,253691,110.6,2391.0,133500,54181.0,2.463963381997379,263.0
78,Jersey City,New Jersey,265549,247597,14.8,17848.0,483900,80088.0,6.04210368594546,85.0
79,St. Petersburg,Florida,265098,244769,61.8,4223.0,216400,52594.0,4.114537779974902,168.0
80,Laredo,Texas,261639,236091,101.1,2544.0,143900,59206.0,2.430496909097051,267.0
81,Madison,Wisconsin,258054,233209,77.0,3280.0,253400,59305.0,4.272826911727511,160.0
82,Chandler,Arizona,257165,236123,64.9,3813.0,317300,56581.0,5.607889574238702,104.0
83,Buffalo,New York,256304,261310,40.4,6359.0,86200,64894.0,1.3283200295867106,312.0
84,Lubbock,Texas,255885,229573,124.6,2027.0,134900,59206.0,2.2784852886531772,279.5
85,Scottsdale,Arizona,255310,217385,183.9,1341.0,480200,56581.0,8.486947915377954,34.0
86,Reno,Nevada,250998,225221,107.3,2286.0,370200,58003.0,6.382428495077841,73.0
87,Glendale,Arizona,250702,226721,59.1,4161.0,232500,56581.0,4.109153249323978,169.0
88,Gilbert,Arizona,248279,208453,68.0,3487.0,337600,56581.0,5.96666725579258,88.0
89,Winston-Salem,North Carolina,246328,229617,132.5,1828.0,135900,52752.0,2.576205641492266,256.0
90,North Las Vegas,Nevada,245949,216961,98.0,2436.0,261500,58003.0,4.508387497198421,145.0
91,Norfolk,Virginia,244076,242803,53.3,4599.0,189200,71535.0,2.644859159851821,252.0
92,Chesapeake,Virginia,242634,222209,338.5,703.0,267000,71535.0,3.7324386663870834,186.0
93,Garland,Texas,242507,226876,57.0,4122.0,204100,59206.0,3.4472857480660744,201.0
94,Irving,Texas,242242,216290,67.0,3557.0,222200,59206.0,3.7529980069587543,184.0
95,Hialeah,Florida,238942,224669,21.5,10995.0,286300,52594.0,5.443586720918736,107.0
96,Fremont,California,237807,214089,77.5,3008.0,1120700,71805.0,15.607548220875984,6.0
97,Boise,Idaho,228790,205671,82.1,2718.0,299300,52225.0,5.730971756821446,97.0
98,Richmond,Virginia,228783,204214,59.8,3732.0,220900,71535.0,3.087998881666317,231.0
99,Baton Rouge,Louisiana,221599,229493,85.9,2651.0,164300,46145.0,3.560515765521725,196.0
100,Spokane,Washington,219190,208916,68.7,3144.0,212400,70979.0,2.99243438200031,236.0
101,Des Moines,Iowa,216853,203433,88.9,2424.0,142500,58570.0,2.4329861703944,265.0
102,Tacoma,Washington,216279,198397,49.7,4251.0,312200,70979.0,4.398484058665239,153.0
103,San Bernardino,California,215941,209924,61.5,3516.0,289800,71805.0,4.035930645498224,172.0
104,Modesto,California,215030,201165,43.0,4934.0,297100,71805.0,4.137594875008704,167.0
105,Fontana,California,213739,196069,43.0,4876.0,391200,71805.0,5.4480885732191355,106.0
106,Santa Clarita,California,210089,176320,52.8,3446.0,545000,71805.0,7.590000696330339,47.0
107,Birmingham,Alabama,209880,212237,146.1,1452.0,357600,48123.0,7.430958169690169,50.0
108,Oxnard,California,209877,197899,26.9,7729.0,503900,71805.0,7.017617157579556,58.0
109,Fayetteville,North Carolina,209468,200564,147.7,1386.0,106400,52752.0,2.0169851380042463,294.0
110,Moreno Valley,California,209050,193365,51.3,4006.0,333800,71805.0,4.648701343917555,136.0
111,Rochester,New York,206284,210565,35.8,5835.0,75500,64894.0,1.163435756772583,315.0
111,Rochester,New York,206284,210565,35.8,5835.0,235900,64894.0,3.635158874472216,191.0
112,Glendale,California,201361,191719,30.4,6606.0,847000,71805.0,11.795835944572104,13.0
113,Huntington Beach,California,200641,189992,26.9,7459.0,830500,71805.0,11.566046932664856,14.0
114,Salt Lake City,Utah,200591,186440,111.2,1742.0,397600,68358.0,5.816436993475526,96.0
115,Grand Rapids,Michigan,200217,188040,44.4,4424.0,161900,54909.0,2.9485148154218797,239.0
115,Grand Rapids,Michigan,200217,188040,44.4,4424.0,294300,54909.0,5.3597770857236515,111.0
116,Amarillo,Texas,199924,190695,101.4,1968.0,134900,59206.0,2.2784852886531772,279.5
117,Yonkers,New York,199663,195976,18.0,11156.0,517600,64894.0,7.97608407556939,41.0
118,Aurora,Illinois,199602,197899,44.9,4479.0,184900,62992.0,2.935293370586741,240.0
119,Montgomery,Alabama,198218,205764,159.8,1252.0,83100,48123.0,1.7268250109095442,298.0
120,Akron,Ohio,198006,199110,62.0,3188.0,67000,54021.0,1.2402584180226208,314.0
121,Little Rock,Arkansas,197881,193524,118.7,1673.0,140200,45869.0,3.0565305544049357,233.0
122,Huntsville,Alabama,197318,180105,213.4,905.0,153300,48123.0,3.18558693348295,224.0
123,Augusta,Georgia,196939,195844,302.5,652.0,166100,56183.0,2.9564103020486625,238.0
124,Port St. Lucie,Florida,195248,164603,118.9,1557.0,222500,52594.0,4.230520591702476,163.0
125,Grand Prairie,Texas,194614,175396,72.3,2637.0,211700,59206.0,3.575651116440901,195.0
126,Columbus,Georgia,194160,189885,216.4,913.0,92000,56183.0,1.6375060071551892,302.0
127,Tallahassee,Florida,193551,181376,100.4,1901.0,183400,52594.0,3.4870897821044227,200.0
128,Overland Park,Kansas,192536,173372,75.1,2516.0,318700,56422.0,5.648505901953139,102.0
129,Tempe,Arizona,192364,161719,40.0,4562.0,290000,56581.0,5.125395450769693,123.0
130,McKinney,Texas,191645,131117,63.0,2735.0,313200,59206.0,5.2900043914468124,115.0
131,Mobile,Alabama,189572,195111,139.4,1384.0,120400,48123.0,2.5019221578039605,261.0
132,Cape Coral,Florida,189343,154305,105.6,1703.0,227300,52594.0,4.321785755029091,156.0
133,Shreveport,Louisiana,188987,199311,107.1,1820.0,177500,46145.0,3.8465705926969336,181.0
134,Frisco,Texas,188170,116989,67.7,2417.0,397200,59206.0,6.708779515589637,66.0
135,Knoxville,Tennessee,187500,178874,98.5,1891.0,173900,51340.0,3.387222438644332,205.0
136,Worcester,Massachusetts,185877,181045,37.4,4933.0,242600,77385.0,3.1349744782580604,229.0
137,Brownsville,Texas,183392,175023,132.5,1387.0,89500,59206.0,1.5116711144140798,306.0
138,Vancouver,Washington,183012,161791,46.9,3728.0,321200,70979.0,4.5252821256991504,143.0
139,Fort Lauderdale,Florida,182595,165521,34.6,5166.0,315200,52594.0,5.993079058447732,87.0
140,Sioux Falls,South Dakota,181883,153888,75.4,2312.0,189100,56894.0,3.3237248215980597,214.0
141,Ontario,California,181107,163924,49.9,3471.0,426900,71805.0,5.945268435345728,89.0
142,Chattanooga,Tennessee,180557,167674,143.1,1241.0,149700,51340.0,2.9158550837553565,243.0
143,Providence,Rhode Island,179335,178042,18.4,9740.0,213000,63870.0,3.3348990136214187,212.0
144,Newport News,Virginia,178626,180719,69.1,2631.0,180200,71535.0,2.519046620535402,258.0
145,Rancho Cucamonga,California,177751,165269,40.0,4413.0,525200,71805.0,7.3142538820416405,53.0
146,Santa Rosa,California,177586,167815,41.3,4241.0,573900,71805.0,7.992479632337581,40.0
147,Oceanside,California,176080,167086,41.3,4249.0,532700,71805.0,7.418703432908572,51.0
148,Salem,Oregon,173442,154637,48.6,3445.0,282900,60212.0,4.698398990234505,134.0
149,Elk Grove,California,172886,153015,42.2,4022.0,437700,71805.0,6.095675788594109,84.0
150,Garden Grove,California,172646,170883,18.0,9714.0,617600,71805.0,8.601072348722234,32.0
151,Pembroke Pines,Florida,172374,154019,33.0,5109.0,308300,52594.0,5.8618853861657225,94.0
152,Peoria,Arizona,172259,154065,175.7,934.0,279600,56581.0,4.941588165638642,125.0
153,Eugene,Oregon,171245,156185,44.1,3777.0,313200,60212.0,5.201620939347638,119.0
154,Corona,California,168819,152374,39.5,4222.0,497000,71805.0,6.921523570781979,62.0
155,Cary,North Carolina,168160,135234,56.5,2873.0,372700,52752.0,7.065134971185927,57.0
